"loan_id","loan_status","num_borrowers","gender_ratio","borrower_picture","desc_language","sector","activity","loan_amount","funded_amount","basket_amount","paid_amount","currency_exchange_loss_amount","disbursal_currency","posted_date","funded_date","paid_date","planned_expiration_date","delinquent","video","country_code","journal_entries","bulk_entries","partner_id","partner_status","num_lenders","partner_rating","due_diligence_type","partner_start_date","delinquency_rate","default_rate","total_amount_raised","partner_loans_posted","lender_country_code","lender_occupation","lender_loan_count","lender_inviter","lender_invitee_count","lender_member_since","lender_teams_count"
535117,"in_repayment",1,1,0,"en","Food","Food Production/Sales",300,300,0,96,0,"PHP",4815.777801,4821.156632,,4845.777801,FALSE,TRUE,"PH",0,0,145,"active",11,4.5,"Full",3478.975208,0.294975396,0.085539755,5952375,13937,"US","student",792,FALSE,30,4115.986875,2
482694,"paid",5,1,0,"fr","Food","Cereals",1000,1000,0,1000,0,"XOF",4667.409734,4672.958507,4855.804745,4697.409734,FALSE,TRUE,"ML",1,0,78,"active",34,2,"Full",2965.111181,0,0,3958225,4610,"CA","other",37,FALSE,0,3516.685752,0
10431,"paid",1,1,0,"en","Transportation","Motorcycle Transport",800,800,0,800,0,"USD",2696.126447,2697.223438,3302.703414,10000,FALSE,TRUE,"KH",2,0,9,"active",21,5,"Full",2314.66412,0.116379011,0.02387086,7897775,9990,,,,FALSE,,,0
371007,"paid",1,1,0,"en","Food","Butcher Shop",675,675,0,675,0,"PHP",4367.625185,4373.154537,4549.778009,10000,FALSE,TRUE,"PH",0,0,145,"active",15,4.5,"Full",3478.975208,0.294975396,0.085539755,5952375,13937,"CA","other",13,FALSE,0,3706.749688,1
419558,"in_repayment",1,0,0,"en","Manufacturing","Furniture Making",1525,1525,0,763.32,0,"MNT",4503.513924,4507.835104,,4533.513924,FALSE,TRUE,"MN",1,0,116,"active",3,5,"Full",3296.277859,0.096938366,0.152454689,7185200,5400,"JP","other",677,FALSE,0,4390.379352,11
7528,"paid",1,1,0,"en","Food","Grocery Store",100,100,0,100,0,"USD",2656.715498,2656.99419,2854.389583,10000,FALSE,TRUE,"VN",2,0,41,"closed",4,0,"Full",2621.929074,0,0,27775,383,"US","other",77,FALSE,0,2366.836933,1
185034,"paid",8,1,0,"en","Food","Butcher Shop",2675,2675,0,2675,0,"PHP",3743.291852,3771.944919,3910.392037,10000,FALSE,TRUE,"PH",0,0,123,"active",50,4,"Full",3248.083449,1.689603515,0.11687322,6078025,14387,,"other",17,FALSE,0,2916.718576,0
134917,"paid",1,1,0,"en","Transportation","Motorcycle Transport",125,125,0,125,0,"PHP",3536.44456,3536.61522,3698.424711,10000,FALSE,TRUE,"PH",1,0,123,"active",5,4,"Full",3248.083449,1.689603515,0.11687322,6078025,14387,"CA","other",50,FALSE,2,2857.861609,0
150166,"paid",1,0,0,"en","Transportation","Taxi",125,125,0,125,0,"PHP",3599.083472,3599.117917,3667.474757,10000,FALSE,TRUE,"PH",1,0,123,"active",5,4,"Full",3248.083449,1.689603515,0.11687322,6078025,14387,"US","analyst",7,FALSE,0,3341.869664,0
535783,"in_repayment",1,1,0,"es","Agriculture","Agriculture",425,425,0,0,0,"NIO",4816.583356,4817.897454,,4846.583356,FALSE,TRUE,"NI",0,0,98,"active",15,2.5,"Full",2907.322963,2.364710043,0.096129279,4258200,7087,"SE","other",502,FALSE,3,3709.66441,1
250817,"paid",1,0,0,"es","Personal Use","Personal Purchases",725,725,0,725,0,"PEN",3978.694583,3981.202604,4122.430162,10000,FALSE,TRUE,"PE",2,0,119,"active",15,3.5,"Full",3165.028148,0.357257971,0.016690613,7779500,10159,,,,FALSE,,,0
7212,"paid",1,1,0,"en","Clothing","Clothing Sales",300,300,0,300,0,"USD",2648.227778,2648.920868,2831.385613,10000,FALSE,TRUE,"HN",0,0,5,"closed",7,0,"Full",2237.75,0,0,399925,1136,"US","student",4,FALSE,1,2648.794097,0
529115,"in_repayment",16,1,0,"es","Food","Milk Sales",4200,4200,0,2940,0,"PYG",4798.486146,4798.625613,,4828.486146,FALSE,TRUE,"PY",0,0,58,"active",24,4.5,"Full",2699.787315,0,0,13784525,8728,"GB","other",43,FALSE,1,4357.835104,1
275656,"paid",12,1,0,"es","Food","Grocery Store",1900,1900,0,1900,0,"PYG",4077.333611,4082.703206,4275.386192,10000,FALSE,TRUE,"PY",0,0,58,"active",50,4.5,"Full",2699.787315,0,0,13784525,8728,"US","other",1176,FALSE,0,2672.241898,3
43190,"paid",1,1,0,"en","Agriculture","Cattle",825,825,0,825,0,"BAM",3013.597361,3013.735255,3336.381157,10000,FALSE,TRUE,"BA",1,0,101,"closed",22,0,"Full",2908.715069,0,0,441325,608,"US","therapist",92,FALSE,1,2574.671713,0
520736,"paid",1,1,0,"en","Agriculture","Farming",625,625,0,625,0,"PHP",4772.15978,4772.183819,4885.499838,4802.15978,FALSE,TRUE,"PH",0,0,145,"active",8,4.5,"Full",3478.975208,0.294975396,0.085539755,5952375,13937,"US","author",422,FALSE,0,4142.200567,4
337863,"paid",1,0,0,"fr","Retail","Retail",325,325,0,325,0,"XOF",4280.187558,4285.328113,4784.509421,10000,FALSE,TRUE,"SN",1,0,108,"active",10,2.5,"Full",2961.166782,4.35724589,0.31634384,2154775,3581,"AU","other",705,FALSE,2,3010.433657,2
358524,"paid",1,1,0,"en","Transportation","Rickshaw",1000,1000,0,1000,0,"USD",4341.173681,4341.541019,4554.352025,10000,FALSE,TRUE,"KH",0,0,9,"active",37,5,"Full",2314.66412,0.116379011,0.02387086,7897775,9990,"AU","other",53,FALSE,4,2748.877292,0
483198,"in_repayment",8,1,0,"en","Food","Fruits & Vegetables",1525,1525,0,838.39,0,"PKR",4673.187512,4700.685995,,4703.187512,FALSE,TRUE,"PK",0,0,60,"active",49,3,"Full",2770.39934,0,0.137556492,6566025,6677,"US","other",114,FALSE,0,2638.232813,1
264083,"defaulted",2,1,0,"es","Retail","Retail",550,550,0,0,0,"NIO",4027.833449,4031.475243,,10000,TRUE,TRUE,"NI",1,0,96,"active",11,2.5,"Full",3023.257049,2.171123045,0.285780224,3686325,6501,"CA","teach",2,FALSE,1,3524.247431,0
236388,"paid",1,0,0,"en","Agriculture","Dairy",500,500,0,498.82,1.18,"KES",3929.632037,3929.754329,4336.420671,10000,FALSE,TRUE,"KE",1,0,142,"active",16,3.5,"Full",3487.187558,3.588005956,0.790076976,2884725,5925,,"account",42,FALSE,0,3313.832951,1
331365,"paid",1,1,0,"en","Food","Soft Drinks",225,225,0,225,0,"KES",4260.479248,4261.856829,4550.385394,10000,FALSE,TRUE,"KE",1,0,164,"active",8,3,"Full",3741.86809,0.530775729,0.181056664,2781250,7659,"PT","unemployed",96,FALSE,0,2867.865671,1
374855,"paid",1,1,0,"en","Transportation","Motorcycle Transport",1000,1000,0,1000,0,"USD",4383.335081,4398.76338,4549.766701,10000,FALSE,TRUE,"KH",1,0,61,"active",37,3,"Full",2705.176007,0.148736625,0.033858439,3374950,4838,"US","student",1642,FALSE,1,2657.161435,4
15214,"paid",1,0,0,"en","Agriculture","Agriculture",1000,1000,0,1000,0,"USD",2771.871181,2772.524074,3362.331725,10000,FALSE,TRUE,"KH",3,0,9,"active",24,5,"Full",2314.66412,0.116379011,0.02387086,7897775,9990,"US","other",97,FALSE,1,2677.053877,0
439163,"in_repayment",1,0,0,"en","Retail","Shoe Sales",475,475,0,435.42,0,"KES",4553.020868,4582.849248,,4583.020868,FALSE,TRUE,"KE",1,0,133,"active",13,3,"Full",3436.482766,3.357199335,0.426269715,6195650,14242,"NO","engineer",198,FALSE,4,2917.654711,0
521118,"in_repayment",2,1,0,"en","Agriculture","Farming",400,400,0,0,0,"KHR",4780.388403,4788.017789,,4810.388403,FALSE,TRUE,"KH",0,0,204,"active",8,4,"Full",4284.013947,0.011635515,0,1920225,3164,,"other",1137,FALSE,0,4444.889456,1
39808,"paid",1,0,0,"en","Food","Restaurant",1200,1200,0,1200,0,"IQD",2988.604248,2988.845289,3436.346123,10000,FALSE,TRUE,"IQ",0,0,50,"closed",32,0,"Full",2683.852558,0,0,190200,164,"US","software",47,FALSE,4,2897.702396,0
298590,"paid",1,0,0,"es","Agriculture","Farm Supplies",225,225,0,225,0,"NIO",4154.909907,4155.640637,4457.341852,10000,FALSE,TRUE,"NI",3,0,98,"active",7,2.5,"Full",2907.322963,2.364710043,0.096129279,4258200,7087,"KR","other",81,FALSE,0,3571.657569,0
13583,"paid",1,1,0,"en","Clothing","Clothing Sales",500,500,0,500,0,"USD",2762.055625,2764.293935,3144.380231,10000,FALSE,TRUE,"AZ",0,0,31,"closed",12,0,"Full",2534.277604,0,0,1149925,1447,"CA","other",44,FALSE,1,2712.781042,0
469590,"in_repayment",1,1,0,"en","Retail","Retail",550,550,0,0,0,"INR",4636.631968,4636.815093,,4666.631968,FALSE,TRUE,"IN",1,0,241,"pilot",22,3,"Full",4610.458356,,,241125,238,"CA","teach",27,FALSE,1,3899.121204,1
120581,"paid",6,1,0,"en","Retail","Hardware",850,850,0,850,0,"UGX",3475.527824,3481.553553,3787.414954,10000,FALSE,TRUE,"UG",0,0,65,"active",32,3.5,"Full",2912.886875,0,0.038037428,4133375,4798,"US","other",6938,FALSE,1,3337.017616,3
350178,"paid",1,1,0,"en","Retail","General Store",225,225,0,225,0,"PHP",4317.618113,4321.249664,4463.317442,10000,FALSE,TRUE,"PH",1,0,125,"active",9,3.5,"Full",3245.674063,0,0.215195216,2180325,9507,"US","other",39,FALSE,0,2828.30294,1
20260,"paid",1,1,0,"en","Clothing","Clothing Sales",1200,1200,0,1200,0,"USD",2847.305602,2851.071539,3333.607546,10000,FALSE,TRUE,"AZ",0,0,31,"closed",46,0,"Full",2534.277604,0,0,1149925,1447,"US","other",8579,FALSE,3,2666.1561,1
350419,"paid",1,0,0,"en","Personal Use","Home Energy",2200,2200,0,2200,0,"MNT",4320.43059,4322.650162,4549.554537,10000,FALSE,TRUE,"MN",0,0,42,"active",50,3.5,"Full",3756.326424,0,0,2345875,1311,"SA","other",63,FALSE,0,2870.557095,0
397379,"defaulted",15,0.8,0,"fr","Retail","Retail",2975,2975,0,0,0,"HTG",4438.639016,4438.854375,,4468.639016,TRUE,TRUE,"HT",2,0,44,"active",50,2.5,"Full",2607.220637,0.39865714,0.276167985,5784275,2743,"US","teach",22,FALSE,0,2519.176782,0
200095,"paid",1,0,0,"es","Agriculture","Agriculture",375,375,0,375,0,"PEN",3784.520868,3789.601574,3971.634236,10000,FALSE,TRUE,"PE",0,0,71,"active",14,3,"Full",2755.90353,4.286953108,0.728993017,10218425,18432,"BE","other",94105,FALSE,16,2578.897002,0
217156,"paid",17,0.235294118,0,"en","Agriculture","Farming",2975,2975,0,2975,0,"UGX",3856.034757,3860.78338,4064.213981,10000,FALSE,TRUE,"UG",1,0,84,"active",46,3,"Full",2808.638924,93.35345996,0.388753284,8096225,3668,"US","educat",114,FALSE,1,2872.775984,0
394193,"paid",1,1,0,"en","Arts","Embroidery",400,400,0,400,0,"USD",4433.520856,4433.669502,4763.551319,4463.520856,FALSE,TRUE,"EC",1,0,188,"active",15,4,"Full",4135.847257,0,0,472700,558,"US","other",72,FALSE,11,2604.009074,0
330927,"paid",1,1,0,"en","Agriculture","Farming",150,150,0,150,0,"PHP",4259.277824,4259.573461,4428.411782,10000,FALSE,TRUE,"PH",0,0,125,"active",6,3.5,"Full",3245.674063,0,0.215195216,2180325,9507,"CA","nurs",17,FALSE,0,4048.751019,1
349550,"paid",1,0,0,"fr","Transportation","Taxi",1050,1050,0,1050,0,"XOF",4311.715336,4351.326678,4704.44419,10000,FALSE,TRUE,"SN",0,0,108,"active",31,2.5,"Full",2961.166782,4.35724589,0.31634384,2154775,3581,"GB","other",1574,FALSE,1,4019.790069,2
530600,"in_repayment",1,1,0,"fr","Retail","Retail",750,750,0,0,0,"XOF",4801.85419,4802.162014,,4831.85419,FALSE,TRUE,"SN",1,0,105,"active",20,2.5,"Full",2974.493171,0,0,4495400,2935,"AU","educat",44,FALSE,0,3101.167292,2
118945,"paid",6,0.666666667,0,"en","Agriculture","Farming",1600,1600,0,1600,0,"SLL",3469.291887,3473.927176,3818.416169,10000,FALSE,TRUE,"SL",0,0,57,"active",46,3,"Full",2698.035162,1.226731038,0.213723403,3195725,3739,"CA","other",50,FALSE,0,2192.375706,0
293290,"paid",1,1,0,"en","Food","Food Market",725,725,0,725,0,"SLL",4132.208368,4132.488438,4458.325544,10000,FALSE,TRUE,"SL",0,0,148,"active",10,2,"Full",3560.764155,4.477077347,5.991034641,1667500,2057,,"other",6,FALSE,0,4132.415012,0
359,"paid",1,0,0,"en","Food","Bakery",300,300,0,300,0,"USD",2307.825278,2308.633079,2503.678542,10000,FALSE,TRUE,"EC",2,0,7,"closed",10,0,"Full",2304.800313,0,24.13787801,1396800,2651,"CH","other",69,FALSE,1,2308.385104,2
67153,"paid",1,0,0,"es","Services","Electronics Repair",525,525,0,525,0,"PYG",3196.296343,3196.83419,3545.658565,10000,FALSE,TRUE,"PY",2,0,58,"active",18,4.5,"Full",2699.787315,0,0,13784525,8728,,"analyst",54,FALSE,2,3191.62375,1
299272,"paid",1,0,0,"es","Services","Vehicle Repairs",825,825,0,825,0,"MXN",4156.548634,4159.849595,4641.400752,10000,FALSE,TRUE,"MX",0,0,18,"active",25,3,"Full",2466.603044,5.730843174,1.286945815,3218575,4727,"US","other",13,FALSE,0,2668.983715,0
535117,"in_repayment",1,1,0,"en","Food","Food Production/Sales",300,300,0,96,0,"PHP",4815.777801,4821.156632,,4845.777801,FALSE,TRUE,"PH",0,0,145,"active",11,4.5,"Full",3478.975208,0.294975396,0.085539755,5952375,13937,"US","student",792,FALSE,30,4115.986875,2
404966,"paid",1,0,0,"en","Housing","Personal Housing Expenses",300,300,0,300,0,"USD",4462.944479,4463.319618,4610.37,4492.944479,FALSE,TRUE,"PE",1,0,119,"active",12,3.5,"Full",3165.028148,0.357257971,0.016690613,7779500,10159,,,,FALSE,,,0
443987,"paid",19,1,0,"es","Clothing","Clothing Sales",4750,4750,0,4750,0,"PYG",4561.77103,4566.880995,4671.413218,4591.77103,FALSE,TRUE,"PY",0,0,58,"active",50,4.5,"Full",2699.787315,0,0,13784525,8728,"NZ","other",97,FALSE,0,2674.255023,0
14972,"paid",1,1,0,"es","Transportation","Transportation",750,750,0,750,0,"USD",2764.072951,2764.709815,2948.427894,10000,FALSE,TRUE,"MX",0,0,16,"closed",19,0,"Full",2434.806111,0,0,1683000,3349,"US","manage",15,FALSE,0,2712.770914,0
289615,"paid",1,0,0,"en","Agriculture","Dairy",550,550,0,550,0,"KES",4119.548646,4123.031134,4337.384919,10000,FALSE,TRUE,"KE",0,0,156,"active",22,3.5,"Full",3667.847419,3.141491251,2.655624242,2039575,3803,"US","other",729,FALSE,0,4094.899282,1
99494,"refunded",1,1,0,"en","Retail","Retail",500,0,0,0,0,"PHP",3380.784803,,,10000,FALSE,TRUE,"PH",1,0,125,"active",6,3.5,"Full",3245.674063,0,0.215195216,2180325,9507,"US","other",122,FALSE,0,2742.003935,0
19294,"paid",1,1,0,"en","Food","Grocery Store",200,200,0,200,0,"USD",2824.67713,2824.71831,3082.382106,10000,FALSE,TRUE,"SL",1,0,57,"active",5,3,"Full",2698.035162,1.226731038,0.213723403,3195725,3739,"US","doctor",27,FALSE,0,2824.7136,0
481032,"paid",19,0.894736842,0,"en","Food","Food Stall",5375,5375,0,5375,0,"TZS",4688.293808,4701.060023,4794.775463,4718.293808,FALSE,TRUE,"TZ",1,0,87,"active",50,3,"Full",2867.888935,0.87069238,0.103599804,5284850,1668,"JP","engineer",173,FALSE,0,2752.184282,3
